Day,ID,Frame,Width,Length,Height_Centroid,Height_average,Volume
D1,4973AM,_Depth_1245,169.10647533432893,438.2236871735712,1.419,1.3702066487005584,75832.71676567642
D1,4973AM,_Depth_1244,168.0,440.0,1.419,1.3725762322445623,76095.62631563582
D1,4973AM,_Depth_1246,168.0,439.0,1.422,1.3701962084079617,75858.1726860868
D1,4973AM,_Depth_1247,168.0,441.0,1.422,1.3713225084483116,75724.42891651297
D1,4973AM,_Depth_1243,169.0,441.0,1.422,1.3724666346823142,76513.64241690635
D1,4973AM,_Depth_1242,168.01190434013895,438.0285378830927,1.422,1.3729300809109126,76440.62811487344
D1,4973AM,_Depth_1240,169.01183390520322,440.028408173836,1.426,1.371940448229707,76266.16951708397
D1,4973AM,_Depth_1241,168.0,439.0,1.422,1.372811488036051,76123.76982308809
D1,4973AM,_Depth_1237,169.0,439.0,1.426,1.3729994916009771,75955.70487485077
D1,4973AM,_Depth_1238,169.1892431568863,438.45638323555056,1.422,1.371880876415824,75819.74039686743
D1,4973AM,_Depth_1239,168.0,439.0,1.426,1.3716346690556054,75944.66835626778
